Name,Location,Description,Accelerator,Batch,Status,Webpage
Speechly,"Helsinki,Finland",Natural Language Understanding API for Speech that runs on device,Y Combinator,W22,,
Stackshine,"Portland,OR,USA",Automating all IT operations,Y Combinator,W22,,
BharatX,"Bengaluru,Karnataka,India",Enable Buy-Now-Pay-Later in a White-Labelled Manner,Y Combinator,W22,,
PingLabs,"SanFrancisco,CA,USA",Studio quality video without the studio,Y Combinator,W22,,
PlacidMoney,"NewYork,NY,USA",Lower interest rates on existing credit cards,Y Combinator,W22,,
RedBrickAI,"Pune,Maharashtra,India",Rapid medical data annotation,Y Combinator,W22,,
Flagright,"Berlin,Germany",Stripe for AML Compliance,Y Combinator,W22,,
Axis,"NewYork,NY,USA",Bloomberg Terminal for Government Affairs Teams,Y Combinator,W22,,
HOKALI,"SanFrancisco,CA,USA",Sports Lessons Marketplace,Y Combinator,W22,,
EXOFreight,"RoyalOak,MI,USA",Trucking marketplace connecting open deck carriers and shippers,Y Combinator,W22,,
Nook,"HoChiMinhCity,Vietnam",All-in-one platform to redesign and remodel homes in Southeast Asia,Y Combinator,W22,,
Radius,"Jakarta,Indonesia",15 minutes grocery delivery for Indonesia's tier 2 cities,Y Combinator,W22,,
Streak,"Bengaluru,Karnataka,India",A neo-banking platform for children in India,Y Combinator,W22,,
Cardda,"Santiago,SantiagoMetropolitanRegion,Chile",Finance platform to help LATAM companies spend less time and money,Y Combinator,W22,,
Ole,"TelAviv-Yafo,Israel",Fashion shopping with delivery and return on demand,Y Combinator,W22,,
AeonCharge,"Seattle,WA,USA",One app to pay for any electric vehicle charger in the US,Y Combinator,W22,,
PalitronicaInc,"Kitchener,ON,Canada",Detect cyber attacks on critical physical infrastructure,Y Combinator,W22,,
CastledData,"Bengaluru,Karnataka,India",Activate data from your warehouse into business apps (Reverse ETL),Y Combinator,W22,,
Dart,"RedwoodCity,CA,USA",Superhuman for project management,Y Combinator,W22,,
Soon,"SaltLakeCity,UT,USA","Automated sweep account, invest without the stress of speculating",Y Combinator,W22,,
ArmillaAI,"Toronto,ON,Canada",Quality Assurance platform for Machine Learning Systems.,Y Combinator,W22,,
SnapTrade,"Fredericton,NB,Canada",Plaid for trading,Y Combinator,W22,,
Bunkyr,"Denver,CO,USA",Zero-Knowledge security without seed phrases or backup codes,Y Combinator,W22,,
SophysHealth,"SanFrancisco,CA,USA",No code analytics platform for EHR data,Y Combinator,W22,,
OpenOps,"SanFrancisco,CA,USA",Shopify for small trucking companies,Y Combinator,W22,,
Slai,"Cambridge,MA,USA",Replit for ML,Y Combinator,W22,,
LiquiFi,"SanFrancisco,CA,USA",Carta for crypto / web3” - We automate token vesting and token cap…,Y Combinator,W22,,
Zorba,"TelAviv-Yafo,Israel","Helping distressed homeowners sell their house online, fast.",Y Combinator,W22,,
91Squarefeet,"Gurugram,Haryana,India",We are building and Operating System for Physical Retail,Y Combinator,W22,,
Azuki,"SanFrancisco,CA,USA",Japanese comic subscription service,Y Combinator,W22,,
Mysterious,"SanFrancisco,CA,USA",Discord for Web3 Communities,Y Combinator,W22,,
Eto,"SanFrancisco,CA,USA",Snowflake for AI datasets,Y Combinator,W22,,
StockUnlock,"NewYork,NY,USA",Web-app | investment education and analysis tools for retail investors,Y Combinator,W22,,
Creizer,"MexicoCity,CDMX,Mexico",Clear.co for LATAM. Revenue based financing for online sellers.,Y Combinator,W22,,
MosaicVoice,"Oakland,CA,USA",We make it simple for call centers to automate quality assurance.,Y Combinator,W22,,
Lightmeter,"London,UK",SendGrid for Salespeople,Y Combinator,W22,,
PhaseBiolabs,"Nottingham,UK",We make carbon negative chemicals from CO2 using fermentation,Y Combinator,W22,,
Firezone,"MountainView,CA,USA","Open-source, blazing fast alternative to corporate VPNs",Y Combinator,W22,,
Agentnoon,"Toronto,ON,Canada",Collaborative People Planning,Y Combinator,W22,,
Elementary,"TelAviv-Yafo,Israel",Open-source data observability for data teams,Y Combinator,W22,,
Vista,"LosAngeles,CA,USA",Enable role-based access across customer groups,Y Combinator,W22,,
shopr.tv,"Bengaluru,Karnataka,India",Creator Led Live Commerce for India.,Y Combinator,W22,,
Oto,"London,UK",Digital therapy for tinnitus,Y Combinator,W22,,
Lexter.ai,"SãoPaulo,StateofSãoPaulo,Brazil",Review and sign contracts 10x faster with AI,Y Combinator,W22,,
Cerebrium,"London,UK",Business Intelligence without a data team,Y Combinator,W22,,
Sribuu,"Jakarta,Indonesia",AI-powered wealth management platform from Indonesia,Y Combinator,W22,,
haddock,"Barcelona,Spain",SaaS helping restaurants improve their margins through cost control.,Y Combinator,W22,,
Inedit(Brandazine),"Seoul,SouthKorea",Fashion rental service for content creators ,Y Combinator,W22,,
Criya,"SanJose,CA,USA","Empowering creators, Enabling your business",Y Combinator,W22,,
Philippo,"Santiago,SantiagoMetropolitanRegion,Chile",Get instant access to cash before selling your home in Latam.,Y Combinator,W22,,
Munily,"PanamaCity,Panama",Access control management app for Latam´s gated communities,Y Combinator,W22,,
celeri,"BuenosAires,Argentina",Compliance tools for financial companies in LatAm KYC & AML,Y Combinator,W22,,
Pyrls,"Minneapolis,MN,USA",Modern medical reference app for healthcare providers,Y Combinator,W22,,
Unlayer,"SanFrancisco,CA,USA",Unlayer makes embeddable email and web editing software.,Y Combinator,W22,,
Tahora,"London,UK",Creating meaningful connections in the workplace,Y Combinator,W22,,
Fieldproxy,"Chennai,TamilNadu,India",Retool for 20 Million Field Teams,Y Combinator,W22,,
NinjaStudy,"Bengaluru,Karnataka,India",Your Personal English AI Tutor Friend,Y Combinator,W22,,
UpBanx,"Jakarta,Indonesia",Brex for D2C Brands and Content Creators in Indonesia,Y Combinator,W22,,
Emigre,"PaloAlto,CA,USA",Banking in India for Indian expats (NRIs),Y Combinator,W22,,
RocketPocket,"Jakarta,Indonesia",First Fintech for Teenagers in Indonesia,Y Combinator,W22,,
Valari,"MexicoCity,CDMX,Mexico",Embedded finance platform for B2B in LatAm.,Y Combinator,W22,,
AnkrHealth,"SanFrancisco,CA,USA",Full-stack patient support platform for cancer clinics,Y Combinator,W22,,
IronLeap,"SanFrancisco,CA,USA",Operations on Autopilot,Y Combinator,W22,,
Hyperbeam,"Waterloo,ON,Canada",API for shared embeddable web browsers,Y Combinator,W22,,
Bobidi,"LosGatos,CA,USA",Bug bounty as a Service for AI,Y Combinator,W22,,
Dioptra.ai,"NewYork,NY,USA",the feedback loop for ML,Y Combinator,W22,,
Atlas,"Dublin,CA94568,USA",All-in-one customer support platform built for product insights,Y Combinator,W22,,
ShuttleCentral,"Cancún,QuintanaRoo,Mexico",Helping travel companies to sell transportation online,Y Combinator,W22,,
Orca,"Austin,TX,USA","Banking for Gen Z, on steroids.",Y Combinator,W22,,
Miggos,"SãoPaulo,StateofSãoPaulo,Brazil",Wholesale marketplace for mom & pop clothing shops in LATAM,Y Combinator,W22,,
Ozone,"SanFrancisco,CA,USA",Figma for video,Y Combinator,W22,,
InstantDomains,"Victoria,BC,Canada",Mobile-first domains for businesses and creators,Y Combinator,W22,,
CorveusMedical,"Houston,TX,USA",Catheter-based device to treat heart failure.  ,Y Combinator,W22,,
Alixia,"SanFrancisco,CA,USA",Targeting the Tumor Ecosystem to address cancer drug resistance.,Y Combinator,W22,,
HypaHub,"Sunnyvale,CA,USA",A Cloud-Based Bioinformatics and AI Platform ,Y Combinator,W22,,
Myria,"LosAngeles,CA,USA",A marketplace of luxury services for ultra-high net worth individuals,Y Combinator,W22,,
Vendoo,"Washington,DC,USA",We help online sellers manage a sales business on multiple platforms. ,Y Combinator,W22,,
Heyfood,"Ibadan,Nigeria",Doordash for Africa,Y Combinator,W22,,
TouchandPayTechnologiesLimited,"62ShipeoluSt,Somolu102216,Lagos,Nigeria",Digitizing and processing Microtransactions in Africa,Y Combinator,W22,,
JumpWire,"NewYork,NY,USA",Data security for every API and database,Y Combinator,W22,,
Kaso(formerlyElkaso),Dubai-UnitedArabEmirates,B2B platform connecting restaurants with food suppliers,Y Combinator,W22,,
CUTR,"Amsterdam,Netherlands",The marketplace for wood manufacturing,Y Combinator,W22,,
Koala,"SanFrancisco,CA,USA",Gamified metaverse for live online classes,Y Combinator,W22,,
acasa,"Bogotá,Bogota,Colombia",Buy your new home before you sell your old one in Latinamerica,Y Combinator,W22,,
Vance,"Mumbai,Maharashtra,India",pipe.com for India,Y Combinator,W22,,
Rownd,"Raleigh,NC,USA",Killing the login page via instantly authenticated accounts.,Y Combinator,W22,,
OnyxCard,"Miami,FL,USA",A modern luxury black card membership with 24/7 concierge ,Y Combinator,W22,,
IndustrialNext,"SanFrancisco,CA,USA",Tesla autonomous manufacturing for everyone,Y Combinator,W22,,
Invert,"Copenhagen,Denmark",Data analytics software for biomanufacturing.,Y Combinator,W22,,
DynamoFL,"SanFrancisco,CA,USA",Simplified model training across privacy-critical datasets ,Y Combinator,W22,,
Seabound,"London,UK",Carbon capture equipment for ships,Y Combinator,W22,,
HomeRoom,"SanJose,CA,USA",We Rent Your Property by the Room. You earn 50% more Rent.,Y Combinator,W22,,
Dropezy,"Jakarta,Indonesia",Delivering groceries under 15 minutes in Indonesia,Y Combinator,W22,,
Harmoney,"Mumbai,Maharashtra,India",Bond trading platform for institutions and asset managers in India,Y Combinator,W22,,
TeamOut,"LosAngeles,CA,USA",Online marketplace for team retreat venues,Y Combinator,W22,,
Skillza,Dubai-UnitedArabEmirates,Skillza teaches kids in the Middle East to code,Y Combinator,W22,,
Kindly,"Bengaluru,Karnataka,India",Home diagnostic & subscription program for people with sperm and ovary,Y Combinator,W22,,
GymClass-byIRLStudios,"LosAngeles,CA,USA",Play basketball in virtual reality,Y Combinator,W22,,
Fleetzero,"Houston,TX,USA",Battery-electric cargo ships. ,Y Combinator,W22,,
Pursuit,"OttawaHills,OH,USA",Marketplace for convenient outdoor experiences in the wild,Y Combinator,W22,,
Yezza,"KualaLumpur,FederalTerritoryofKualaLumpur,Malaysia",Storefronts on WhatsApp in Southeast Asia,Y Combinator,W22,,
Nyckel,"California,USA",The machine learning API for non-experts,Y Combinator,W22,,
NudgeLabs,"Stockholm,Sweden",Smartwatch for employees to improve their physical and mental health,Y Combinator,W22,,
Spinach.io,Unkown,"Fixing remote collaboration, starting with daily standups",Y Combinator,W22,,
Blaze,"SanFrancisco,CA,USA",Automated insights from customer feedback data,Y Combinator,W22,,
Sarus,"Paris,France","Use personal data for analytics and ML, safely and seamlessly",Y Combinator,W22,,
bipi,"Jakarta,Indonesia",Promotions-enabled mobile POS for cornerstores.,Y Combinator,W22,,
NestGenomics,"NewYork,NY,USA",Genomic medical record to manage results for life,Y Combinator,W22,,
BrownFoods,"Boston,MA,USA",Making 'REAL' Milk without any Cows!,Y Combinator,W22,,
Arda,"Delhi,India",Banking as a Service for DeFi,Y Combinator,W22,,
PerlStreet,"Austin,TX,USA",Developing the next-generation of infrastructure projects,Y Combinator,W22,,
Transfez,"Jakarta,Indonesia",Brex for small businesses in Indonesia ,Y Combinator,W22,,
Proper,"SanFrancisco,CA,USA",Modern financial data infrastructure for fintechs,Y Combinator,W22,,
Segna,"Auckland,NewZealand",The best way to normalize data files,Y Combinator,W22,,
Lovecast,"SanFrancisco,CA,USA",A Digital Experience for Every Celebration,Y Combinator,W22,,
Wagetap,"SydneyNSW,Australia","Advance next payday, and BNPL for bills",Y Combinator,W22,,
Loops,"Washington,DC,USA",Email sending for startups,Y Combinator,W22,,
VacationHomeRents,"Seattle,WA,USA",Kayak.com for vacation rentals,Y Combinator,W22,,
Zywa,Dubai-UnitedArabEmirates,The first neobank for teenagers in the Middle East & North Africa,Y Combinator,W22,,
CherryRecommends,Singapore,Promotion management platform,Y Combinator,W22,,
Toolchest,"MountainView,CA,USA",Computational biology tools in the cloud with a line of code,Y Combinator,W22,,
Craniometrix,"SanFrancisco,CA,USA",We screen for cognitive impairment - all from your cellphone!,Y Combinator,W22,,
EngageBio,"SantaClara,CA,USA",mRNA Immunotherapies to Eliminate Cancer,Y Combinator,W22,,
ActipulseNeuroscience,"MexicoCity,CDMX,Mexico",Bringing non-invasive brain stimulation from the hospital to the home,Y Combinator,W22,,
Kiter,"SanFrancisco,CA,USA",Kiter is the best way to manage opportunities for your next job,Y Combinator,W22,,
Momento,"MexicoCity,CDMX,Mexico",Full-stack auto insurer for the underserved in LatAm,Y Combinator,W22,,
Starling,"Houston,TX,USA",AI enabling digital urine diagnostics in the home,Y Combinator,W22,,
8vdX,"Norwalk,CT,USA",AngelList for venture debt,Y Combinator,W22,,
RosebudBiosciences,"SanCarlos,CA,USA",Growing micro-organs to find new drugs,Y Combinator,W22,,
Wingback,"SanFrancisco,CA,USA",Wingback provides tools and APIs for SaaS pricing and packaging.,Y Combinator,W22,,
SamosInsurance,"Kitchener,ON,Canada",Accidental Death Insurance for Surgery ,Y Combinator,W22,,
WeReno,"Toronto,ON,Canada",Fast and secure renovation payments,Y Combinator,W22,,
Peakflo,Singapore,Bill.com for SE Asia,Y Combinator,W22,,
Trébol,"Bogotá,Bogota,Colombia",Plaid for business data in Latam,Y Combinator,W22,,
Rebill,"BuenosAires,Argentina",Payments orchestration and recurring billing platform for LATAM,Y Combinator,W22,,
Flightcontrol,"Dayton,OH,USA","Easily deploy scalable, secure applications without any devops",Y Combinator,W22,,
Lumina,"Jakarta,Indonesia",LinkedIn app for blue-collar workers in Southeast Asia,Y Combinator,W22,,
PolicyFly,"NewYork,NY,USA",Modernizing Specialty Insurance,Y Combinator,W22,,
Selia,"Cra.11a#112-6,Bogotá,Colombia",Telehealth platform for LatAm,Y Combinator,W22,,
Sieve,"Berkeley,CA,USA",AI Infrastructure for Video,Y Combinator,W22,,
WorldQL,Unkown,Developer tools for multiplayer games and virtual economies.,Y Combinator,W22,,
Railbird,"NewYork,NY,USA",A stock market for sports.,Y Combinator,W22,,
Kapital,"MexicoCity,CDMX,Mexico",Data driven neobank for SMBs in LATAM,Y Combinator,W22,,
SyronaHealth,"London,UK",Virtual Womens health clinic for enterprise-Endometriosis to Menopause,Y Combinator,W22,,
Boardcave,"GoldCoastQLD,Australia",Building the world’s largest online surf gear store.  ,Y Combinator,W22,,
LifeAt,"Seattle,WA,USA",A virtual getaway while you work 🏞,Y Combinator,W22,,
TYBRHealth,"Houston,TX,USA",Sprayable hydrogel to keep internal organs scar-free after surgery,Y Combinator,W22,,
Uh-OhLabs,"SantaClara,CA,USA",40-min PCR-quality COVID test at the cost of a rapid antigen test,Y Combinator,W22,,
OnScale,"NewYork,NY,USA",Private banking for high-earning creators,Y Combinator,W22,,
Pelm,"SanFrancisco,CA,USA",Plaid for utilities,Y Combinator,W22,,
Strac,"Bellevue,WA,USA",Detect & Mask Sensitive Personal Data,Y Combinator,W22,,
RemedialHealth,"Lagos,Nigeria",B2B E-commerce & Fintech platform for Pharmacies & Hospitals in Africa,Y Combinator,W22,,
Agave,"SanFrancisco,CA,USA",Plaid for Construction,Y Combinator,W22,,
Cube,"NewYork,NY,USA",Easily automate all your data work,Y Combinator,W22,,
Alfie,"NewYork,NY,USA",Democratizing access to precision weight loss medications ,Y Combinator,W22,,
AstroForge,"HuntingtonBeach,CA,USA",We Mine Asteroids,Y Combinator,W22,,
GrowthBook,"PaloAlto,CA,USA",Open source feature flagging and A/B testing,Y Combinator,W22,,
CompraRápida,"SãoPaulo,StateofSãoPaulo,Brazil",One-click checkout for LatAm.,Y Combinator,W22,,
MedervaHealth,"SanFrancisco,CA,USA",US medical expertise for doctors around the world.,Y Combinator,W22,,
Blocknom,"Jakarta,Indonesia",Coinbase Earn for Southeast Asia,Y Combinator,W22,,
Bloom,"Khartoum,Sudan",Stable savings app for East Africans.,Y Combinator,W22,,
Arc,"SanFrancisco,CA,USA",Helping startups grow.,Y Combinator,W22,,
Uberduck,"Seattle,WA,USA",Canva for programmable video,Y Combinator,W22,,
Spot,"Cincinnati,OH,USA",At-home lab tests via API,Y Combinator,W22,,
Yodaa,"Bengaluru,Karnataka,India",Payments & Loyalty Infrastructure ,Y Combinator,W22,,
Northwind,"LosAngeles,CA,USA",Tele-dermatology for people with lifelong chronic skin conditions ,Y Combinator,W22,,
BetterFinancialCorporation,"NewYork,NY,USA",Family of Fintech Brands built on a shared stack,Y Combinator,W22,,
Optery,"WalnutCreek,CA,USA",Opt out software that removes your private info from the internet,Y Combinator,W22,,
Wyvern,"Edmonton,AB,Canada",High-res hyperspectral pictures of Earth from space,Y Combinator,W22,,
Andi,"Miami,FL,USA",Search for the next generation,Y Combinator,W22,,
SerifHealth,"LosAngeles,CA,USA",Healthcare Price Intelligence and Contract Management,Y Combinator,W22,,
Yummy,"Caracas,CapitalDistrict,Venezuela",SuperApp & Quick Commerce for LATAM ,Y Combinator,S21,,
Careerist,"Sunnyvale,CA,USA",Learning platform for job seekers with job applications automation,Y Combinator,S21,,
JABULogistics,"Windhoek,Namibia",Last-mile distribution marketplace for informal retailers in Africa,Y Combinator,S21,,
RevolveSurgical,"Toronto,ON,Canada",Surgical robotics for every operating room,Y Combinator,S21,,
LivLabs,"Chicago,IL,USA",Solutions for incontinence,Y Combinator,S21,,
MechoAutotech,"Lagos,Nigeria",On-demand auto maintenance & repairs,Y Combinator,S21,,
Odiggo,"SanFrancisco,CA,USA",Decentralized search protocol for the next 1-billion people,Y Combinator,S21,,
Beau,"Barcelona,Spain",Workflows for repetitive customer-facing tasks,Y Combinator,S21,,
Toku,"MexicoCity,CDMX,Mexico",Payments for subscription companies in LATAM,Y Combinator,S21,,
